id,label,properties
1,command,"{""﻿commandment_number"": ""1"", ""commandment_concept"": ""Know there is a G-d "", ""commandment_polarity"": ""P"", ""reference_id"": ""EXO 20:2"", ""scripture_english"": ""\""I am the LORD your God, who brought you out of the land of Egypt, out of the house of slavery."", ""scripture_hebrew"": ""ב אָנֹכִי יְהוָה אֱלֹהֶיךָ, אֲשֶׁר הוֹצֵאתִיךָ מֵאֶרֶץ מִצְרַיִם מִבֵּית עֲבָדִים: "", ""scripture_greek"": ""2 Ἐγώ εἰμι κύριος ὁ θεός σου, ὅστις ἐξήγαγόν σε ἐκ γῆς Αἰγύπτου ἐξ οἴκου δουλείας.  "", ""scripture_parashah"": ""Yitro"", ""sefer_hachinuch_number"": ""25"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""The Foundations of Torah"", ""p119f_category"": ""G-d""}"
2,command,"{""﻿commandment_number"": ""2"", ""commandment_concept"": ""Do not entertain thoughts of other gods besides G-d "", ""commandment_polarity"": ""N"", ""reference_id"": ""EXO 20:3"", ""scripture_english"": ""\""You shall have no other gods before Me."", ""scripture_hebrew"": ""לֹא-יִהְיֶה לְךָ אֱלֹהִים אֲחֵרִים, עַל-פָּנָי."", ""scripture_greek"": ""3 οὐκ ἔσονταί σοι θεοὶ ἕτεροι πλὴν ἐμοῦ. --  "", ""scripture_parashah"": ""Yitro"", ""sefer_hachinuch_number"": ""26"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""The Foundations of Torah"", ""p119f_category"": ""G-d""}"
3,command,"{""﻿commandment_number"": ""3"", ""commandment_concept"": ""Know that G-d is One, a complete Unity "", ""commandment_polarity"": ""P"", ""reference_id"": ""DEU 6:4"", ""scripture_english"": ""\""Hear, O Israel! The LORD is our God, the LORD is one!"", ""scripture_hebrew"": ""ד שְׁמַע, יִשְׂרָאֵל: יְהוָה אֱלֹהֵינוּ, יְהוָה אֶחָד."", ""scripture_greek"": ""4 Καὶ ταῦτα τὰ δικαιώματα καὶ τὰ κρίματα, ὅσα ἐνετείλατο κύριος τοῖς υἱοῖς Ισραηλ ἐν τῇ ἐρήμῳ ἐξελθόντων αὐτῶν ἐκ γῆς Αἰγύπτου Ἄκουε, Ισραηλ· κύριος ὁ θεὸς ἡμῶν κύριος εἷς ἐστιν·  "", ""scripture_parashah"": ""Vaet Chanan"", ""sefer_hachinuch_number"": ""417"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""The Foundations of Torah"", ""p119f_category"": ""G-d""}"
4,command,"{""﻿commandment_number"": ""4"", ""commandment_concept"": ""Love G-d "", ""commandment_polarity"": ""P"", ""reference_id"": ""DEU 6:5"", ""scripture_english"": ""\""You shall love the LORD your God with all your heart and with all your soul and with all your might."", ""scripture_hebrew"": ""ה וְאָהַבְתָּ, אֵת יְהוָה אֱלֹהֶיךָ, בְּכָל-לְבָבְךָ וּבְכָל-נַפְשְׁךָ, וּבְכָל-מְאֹדֶךָ."", ""scripture_greek"": ""5 καὶ ἀγαπήσεις κύριον τὸν θεόν σου ἐξ ὅλης τῆς καρδίας σου καὶ ἐξ ὅλης τῆς ψυχῆς σου καὶ ἐξ ὅλης τῆς δυνάμεώς σου.  "", ""scripture_parashah"": ""Vaet Chanan"", ""sefer_hachinuch_number"": ""418"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""The Foundations of Torah"", ""p119f_category"": ""G-d""}"
5,command,"{""﻿commandment_number"": ""5"", ""commandment_concept"": ""Fear G-d reverently "", ""commandment_polarity"": ""P"", ""reference_id"": ""DEU 10:20"", ""scripture_english"": ""\""You shall fear the LORD your God; you shall serve Him and cling to Him, and you shall swear by His name."", ""scripture_hebrew"": ""כ אֶת-יְהוָה אֱלֹהֶיךָ תִּירָא, אֹתוֹ תַעֲבֹד; וּבוֹ תִדְבָּק, וּבִשְׁמוֹ תִּשָּׁבֵעַ."", ""scripture_greek"": ""20 κύριον τὸν θεόν σου φοβηθήσῃ καὶ αὐτῷ λατρεύσεις καὶ πρὸς αὐτὸν κολληθήσῃ καὶ τῷ ὀνόματι αὐτοῦ ὀμῇ·  "", ""scripture_parashah"": ""Ekev"", ""sefer_hachinuch_number"": ""432"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""The Foundations of Torah"", ""p119f_category"": ""G-d""}"
6,command,"{""﻿commandment_number"": ""6"", ""commandment_concept"": ""Sanctify G-d's Name "", ""commandment_polarity"": ""P"", ""reference_id"": ""LEV 22:32"", ""scripture_english"": ""\""You shall not profane My holy name, but I will be sanctified among the sons of Israel; I am the LORD who sanctifies you,"", ""scripture_hebrew"": ""לב וְלֹא תְחַלְּלוּ, אֶת-שֵׁם קָדְשִׁי, וְנִקְדַּשְׁתִּי, בְּתוֹךְ בְּנֵי יִשְׂרָאֵל: אֲנִי יְהוָה, מְקַדִּשְׁכֶם."", ""scripture_greek"": ""32 καὶ οὐ βεβηλώσετε τὸ ὄνομα τοῦ ἁγίου, καὶ ἁγιασθήσομαι ἐν μέσῳ τῶν υἱῶν Ισραηλ· ἐγὼ κύριος ὁ ἁγιάζων ὑμᾶς  "", ""scripture_parashah"": ""Emor"", ""sefer_hachinuch_number"": ""296"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""The Foundations of Torah"", ""p119f_category"": ""G-d""}"
7,command,"{""﻿commandment_number"": ""7"", ""commandment_concept"": ""Do not profane G-d's Name "", ""commandment_polarity"": ""N"", ""reference_id"": ""LEV 22:32"", ""scripture_english"": ""\""You shall not profane My holy name, but I will be sanctified among the sons of Israel; I am the LORD who sanctifies you,"", ""scripture_hebrew"": ""לב וְלֹא תְחַלְּלוּ, אֶת-שֵׁם קָדְשִׁי, וְנִקְדַּשְׁתִּי, בְּתוֹךְ בְּנֵי יִשְׂרָאֵל: אֲנִי יְהוָה, מְקַדִּשְׁכֶם."", ""scripture_greek"": ""32 καὶ οὐ βεβηλώσετε τὸ ὄνομα τοῦ ἁγίου, καὶ ἁγιασθήσομαι ἐν μέσῳ τῶν υἱῶν Ισραηλ· ἐγὼ κύριος ὁ ἁγιάζων ὑμᾶς  "", ""scripture_parashah"": ""Emor"", ""sefer_hachinuch_number"": ""295"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""The Foundations of Torah"", ""p119f_category"": ""G-d""}"
8,command,"{""﻿commandment_number"": ""8"", ""commandment_concept"": ""Do not destroy objects associated with G-d's Name "", ""commandment_polarity"": ""N"", ""reference_id"": ""DEU 12:4"", ""scripture_english"": ""\""You shall not act like this toward the LORD your God."", ""scripture_hebrew"": ""ד לֹא-תַעֲשׂוּן כֵּן, לַיהוָה אֱלֹהֵיכֶם."", ""scripture_greek"": ""4 οὐ ποιήσετε οὕτως κυρίῳ τῷ θεῷ ὑμῶν,  "", ""scripture_parashah"": ""Re'eh"", ""sefer_hachinuch_number"": ""437"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""The Foundations of Torah"", ""p119f_category"": ""Temple and Sacred Objects""}"
9,command,"{""﻿commandment_number"": ""9"", ""commandment_concept"": ""Listen to the prophet speaking in G-d's Name "", ""commandment_polarity"": ""P"", ""reference_id"": ""DEU 18:15"", ""scripture_english"": ""\""The LORD your God will raise up for you a prophet like me from among you, from your countrymen, you shall listen to him."", ""scripture_hebrew"": ""טו נָבִיא מִקִּרְבְּךָ מֵאַחֶיךָ כָּמֹנִי, יָקִים לְךָ יְהוָה אֱלֹהֶיךָ: אֵלָיו, תִּשְׁמָעוּן."", ""scripture_greek"": ""15 προφήτην ἐκ τῶν ἀδελφῶν σου ὡς ἐμὲ ἀναστήσει σοι κύριος ὁ θεός σου, αὐτοῦ ἀκούσεσθε  "", ""scripture_parashah"": ""Shoftim"", ""sefer_hachinuch_number"": ""516"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""The Foundations of Torah"", ""p119f_category"": ""Prophecy""}"
10,command,"{""﻿commandment_number"": ""10"", ""commandment_concept"": ""Do not test G-d unduly "", ""commandment_polarity"": ""N"", ""reference_id"": ""DEU 6:16"", ""scripture_english"": ""\""You shall not put the LORD your God to the test, as you tested Him at Massah."", ""scripture_hebrew"": ""טז לֹא תְנַסּוּ, אֶת-יְהוָה אֱלֹהֵיכֶם, כַּאֲשֶׁר נִסִּיתֶם, בַּמַּסָּה."", ""scripture_greek"": ""16 Οὐκ ἐκπειράσεις κύριον τὸν θεόν σου, ὃν τρόπον ἐξεπειράσασθε ἐν τῷ Πειρασμῷ.  "", ""scripture_parashah"": ""Vaet Chanan"", ""sefer_hachinuch_number"": ""424"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""The Foundations of Torah"", ""p119f_category"": ""G-d""}"
